Barcode,ProductName,Manufacturer,Brand,TC,atx,LC
48168016099,12oz. Vehicle Air Conditioning Refrigerant 134a with Leak Sealer,Interdynamics,Interdynamics,Cylinders,z-Refrigerant,Refrigerant
28995113024,131006-Mod Podge Matte Finish,Plaid Inc,Mod Podge,Adhesive,z-Flam Tox,Craft
48155910942,"13Oz Carpet Cleaner, Pack of 12","Personal Care Products, LLC",PowerHouse,Cleaners,z-Aerosols Punc,Aerosol
48155910966,13OZ Glas/Surf Cleaner,,PowerHouse,Cleaners,z-Areosols Non-Punc,Aerosol
41072040990,14 oz. Ceiling Popcorn Easy Patch Spray Texture,Homax Products,Homax,Paint,z-Areosols Non-Punc,Aerosol
78864430103,14OZ STAINLESS PLUMBERS PUTTY,Harvey's,Harvey's,Home Building,z-Flam Tox,Liquid
45162501354,16 fl. oz. Window Film Application Solution,Gila,Gila,Cleaners,z-Flam Tox,Oxidizer
75894001174,16 Oz Aero B-12 Carb/Choke Cleaner,"Berryman Products, Inc.",Berryman,Cleaners,z-Aerosols Punc,Aerosol
70183500550,16 oz. Concentrate Plus Weed and Grass Killer,The Scotts Miracle-Gro Company,Roundup,Herbicide,z-Flam Tox,Liquid
21709016895,16 oz. Garbage Odor Eliminator,Zep Inc.,Zep Commercial,Cleaners,z-Tox Solids,Solid
24654551183,16 oz. Insect Killing Soap Concentrate,Woodstream Corporation,Safer,Pesticide,z-Flam Tox,Liquid
45564100513,16 oz. MP12 Hausfeld Oil Compressor,Campbell Hausfeld,Campbell Hausfeld,Automotive,z-Oil,Liquid
41758046117,16 oz. Revitalizing Wood Polish Woodland Fresh Trigger Spray,Guardsman,Guardsman,Cleaners,z-Flam Tox,Liquid
74985004643,16 oz. Window and Door Insulating Foam Sealant,Great Stuff,Great Stuff,Home Building,z-Areosols Non-Punc,Aerosol
37000800774,16.9OZ Febreze Meadows,Procter & Gamble,Febreze,Cleaners,z-Flam Tox,Liquid
70042199901,16.9OZ TX9 Fat Cylinder,Bernzomatic,BernzOmatic,Cylinders,z-Propane,Propane
84865968378,16oz Roach Spray,Bengal Chemical,Bengal Chemical,Pesticide,z-Areosols Non-Punc,Aerosol
71121961143,17.5 oz. Bed Bug and Flea Killer Aerosol,United Industries Corporation,Hot Shot,Pesticide,z-Areosols Non-Punc,Aerosol
76354160226,"18Oz Clear Ultrapure Lamp Oil , 60014",,Lamplight ,Garage,z-Bulk Flam,Liquid
20066190187,1901830 Painter's Touch Multi-Purpose Paint Clear Gloss Spray,Rust-Oleum Corporation,2x Ultra Cover,Paint,z-Aerosols Punc,Aerosol
27564710206,1936440 10OZ WH AP CAULK,Henkel Corporation,Loctite,Home Building,z-Tox Solids,Liquid
71549019679,196710 1GAL RTU MAX KILLER,The Scotts Miracle-Gro Company,Ortho,Pesticide,z-Flam Tox,Liquid
28882110013,2 CANS of DU PONT IG-LO R12 R-12 Freon,E. I. du Pont de Nemours and Company,DuPont,Cylinders,z-Refrigerant,Refrigerant
71121961266,2 CUTTER BACKYARD BUG CONTROL WASP & HORNET KILLER 20 FOOT JET SPRAY KILLS-F/SHP,United Industries Corporation,Cutter,Pesticide,z-Areosols Non-Punc,Aerosol
41072024181,2 gal. White Popcorn Roll-On Texture Decorative Ceiling Finish,Homax Products,Homax,Paint,z-Bulk Flam,Liquid
72319004215,2 Items Old Dutch Cleanser Chases Dirt with bleach (some rust on bottom of can),,Old Dutch,Cleaners,j-Oxidizers,Oxidizer
32700018832,2 Pack - Hartz UltraGuard Plus Flea & Tick Spray for Dogs 16 oz,The Hartz Mountain Corporation,UltraGuard,Pet Care,z-Flam Tox,Liquid
77043401477,2 Pack - St. Ives Oatmeal and Shea Butter Moisturizing Body Wash 24 oz,Alberto-Culver Company,St. Ives,Personal Care,z-Flam Tox,Liquid
37000326953,2 Pack Swiffer Wet Jet Multi Purpose Cleaner Open-window Fresh Grand Air Scent Refills,Procter & Gamble,Swiffer,Cleaners,z-Bulk Flam,Liquid
75611796338,2.7 oz. Chalk Board Spray Paint (3-Pack),Testor,CreateFX,Paint,z-Aerosols Punc,Aerosol
71121576255,20 oz. Wasp and Hornet Aerosol Spray Killer,United Industries Corporation,Spectracide,Pesticide,z-Areosols Non-Punc,Aerosol
30702070322,20/10 Ttwb32 Winter Boost- Qt,20/10 Products Inc.,20/10,Automotive,z-Bulk Flam,Liquid
19200798389,22 Oz Multi Fabric Upholstery Cleaner,Reckitt Benckiser Inc.,Resolve,Cleaners,z-Flam Tox,Liquid
72845104144,24 fl. oz. Ready-to-Use Fungicide3,United Industries Corporation,Garden Safe,Herbicide,z-Flam Tox,Liquid
78175082244,24 oz. California Gold Showtime Instant Detailer (Case of 6),MOTHERS,Mothers,Cleaners,z-Flam Tox,Liquid
62338042503,24 oz. Oven and Grill Cleaner (Case of 6),Reckitt Benckiser Inc.,Easy-Off,Cleaners,z-Aerosols Punc,Aerosol
50428059500,24.7 Minerals Immediate Results Anti-Aging Mineral Foundation .06 oz,"CVS Pharmacy, Inc.",24.7,Personal Care,z-Flam Tox,Solid
75371003165,"3 Pack - Tree Hut Shea Sugar Scrub, Passion Fruit & Guava 18 oz",Naterra International,Tree Hut,Personal Care,z-Flam Tox,Liquid
79567100300,"3-IN-ONE 10047 Dry Lube, Aerosol Can, 10 Fluid Ounce, 3"" OD, 2.63"" Length",WD40 Company,3-IN-ONE,Garage,z-Aerosols Punc,Aerosol
79567100355,3-In-One Household Oil Bottle 3 Oz,WD40 Company,3-IN-ONE,Garage,z-Flam Tox,Liquid
79567100409,3-IN-ONE Professional High-Performance Penetrants - 10140,WD40 Company,3-IN-ONE,Garage,z-Aerosols Punc,Aerosol
35110040370,3-PACK 2.6-ounce Sterno Canned Gel Cooking Fuel,,Sterno,Garage,z-Flam Tox,Liquid
71549041014,32 Oz Weed B Gon Max,WMU,Ortho,Herbicide,z-Flam Tox,Liquid
75919005231,32 oz. Mildew Stain Remover Plus Blocker,"W.M. Barr & Company, Inc.",Mold Armor,Cleaners,j-Oxidizers,Liquid
24654551107,32 oz. Ready-to-Use Insect Killing Soap,Woodstream Corporation,Safer,Pesticide,z-Flam Tox,Liquid
24654551053,32 oz. Ready-to-Use Yard and Garden Insect Killer,Woodstream Corporation,Safer,Pesticide,z-Flam Tox,Liquid
43318184017,32 oz. Stone Cleaner,Simple Green,Simple Green,Cleaners,z-Flam Tox,Oxidizer
81238629423,32OZ MP Cleaner,Greased Lightning,Greased Lightning,Cleaners,h-Bases,Aerosol
76308201241,"3M (20124) All-Purpose Fiberglass Resin, 20124, 1 Gallon",3M,3M,Home Building,z-Flam Tox,Liquid
76308002619,3M 00261 Bondo Lightweight Filler Pint Can - 14 oz.,3M,Bondo,Home Building,z-Flam Tox,Filler
51131036185,3M 03618 Adhesive Remover - 12 oz.,3M,3M,Cleaners,z-Aerosols Punc,Aerosol
51135080887,3M 08088 General Trim Adhesive - 18.1 oz.,3M,3M,Adhesive,z-Areosols Non-Punc,Aerosol
51131090057,3M 09005 Restoring Marine Restorer and Wax (16.9 fl. oz.),VICTORY MARINE,3M,Cleaners,z-Flam Tox,Liquid
76308200824,3M 20082 Bondo Bondo Home Solutions Wood Filler Quart,3M,Bondo,Home Building,z-Flam Tox,Liquid
76308201227,3M 20122 Bondo Resin Fiberglass All Purp Qt,3M,Bondo,Home Building,z-Bulk Flam,Liquid
21200570285,3M 3221-4611 3m 14 Oz Scotchgard Carpet Protector 1,3M,Scotchgard,Cleaners,z-Aerosols Punc,Liquid
51131390409,3M 39040 Leather and Vinyl Restorer - 16 fl. oz.,3M,3M,Cleaners,z-Flam Tox,Aerosol
76308004026,3M 402 Bondo 1 Quart Fiberglass Resin With Cap,3M,Bondo,Automotive,k-Sticky OBP,Liquid
21200002137,3M 4101 Scotchgard Fabric Protector For Fabric & Upholstery 10 Oz Aerosol Can,3M,Scotchgard,Cleaners,z-Aerosols Punc,Aerosol
21200212109,3M 77 Super Multi Purpose Spray Adhesive 16.75 Ounce Aerosol Clear,3M,Super 77,Adhesive,z-Areosols Non-Punc,Aerosol
21200858222,"3M 85822 Silicone Lubricant, (Net Fill: 13.25 oz.) 24 fl oz",3M,3M,Garage,z-Areosols Non-Punc,Liquid
21200300233,3M 90 High Strength Aerosol Spray Adhesive 17 Ounce,3M,3M,Adhesive,z-Areosols Non-Punc,Aerosol
21200962622,3M 96262 General Purpose 45 Adhesive Spray (10.25 oz.),3M,3M,Adhesive,z-Areosols Non-Punc,Aerosol
21200525674,"3M Antistatic Electronic Equipment Cleaner, Oil/Wax-Free, 10oz Aerosol",3M,3M,Cleaners,z-Aerosols Punc,Aerosol
21200591297,3M Fabric & Upholstery Cleaner W/Scotchgard Protector - 14oz 01748,3M,3M,Cleaners,z-Aerosols Punc,Aerosol
21200202728,3m Marine Contact Adhesive Quart 20272,3M,Marine,Home Building,z-OBP,Liquid
21200017483,"3M Scotchgard Fabric And Upholstery Cleaner, 14-Ounce (1014D)",3M,Scotchgard,Cleaners,z-Aerosols Punc,Aerosol
21200963155,"3m?Super 77?Classic Spray Adhesive, Net Wt 16.5 Oz (one Can)",3M,Scotch,Adhesive,z-Areosols Non-Punc,Aerosol
30192026250,4 Damprid Stove/Denature d Alcohol 1Gl @4 GSL26 LC,GSL26,Damprid,Cleaners,z-Flam Tox,Liquid
78698121031,4-Oz. Super Oil Household Oil Squirt Spou,Radiator Specialty,Liquid Wrench,Garage,z-Flam Tox,Liquid
44600008882,409 00888 Formula 409 409 All Purpose Antibacterial Cleaner,Formula409,Formula 409,Cleaners,z-Bulk Flam,Liquid
44600301082,409 30108 Formula 409 409 Stone & Steel Cleaner 32 Ounce,Formula409,Formula 409,Cleaners,z-Bulk Flam,Liquid
18222006076,4x SQUIRRELOG Sweet Corn Squirrel Food Squirrel Feeder MADE IN USA,C & S,C & S,Pet Care,z-Tox Solids,Solid
71121533913,53391 168oz TERMITE/CARP ANT,HRG GROUP INC,Cutter,Pesticide,z-Bulk Flam,Liquid
51135080801,6 cans 3M 08080 General Trim Adhesive 16.75 fl. oz. Home & Auto Spray Glue,3M,3M,Adhesive,z-Areosols Non-Punc,Aerosol
14425955630,6 Pack 4 Oz Care Free Enzymes Birdbath Protector Made in USA 95521D,"CareFree Enzymes, Inc.",CareFree ,Herbicide,z-Flam Tox,Liquid
11423003387,6.5 oz. Aerosol Sportsmen Max Insect Repellent,Repel,Repel,Pesticide,z-Areosols Non-Punc,Aerosol
71549039684,7 each: Weed Be Gon Max for Southern Lawns (0403212),The Scotts Miracle-Gro Company,Ortho,Herbicide,z-Flam Tox,Liquid
70251791408,791400 PT TRIMEC LWN WEED KILL,Pbi Gordon,Trimec,Herbicide,z-Flam Tox,Liquid
46500729843,7OZ Pin/Man Starter Kit,S.C. Johnson & Son Company,Glade,Cleaners,z-Flam Tox,Aerosol
56198676541,8 oz. Pure White Eggshell Interior Paint and Primer Sample,"PPG Industries, Inc.",Glidden Diamond,Paint,z-Flam Tox,Liquid
75378801580,8 oz. Universal Carpet Seam Sealer,Roberts,Roberts,Cleaners,z-Flam Tox,Liquid
26214560857,8.5 oz. Perfect Sink Fresh and Clean Cleaner and Polish,Hope's,Hope's,Cleaners,z-Flam Tox,Liquid
71503289735,"Ability One 1200mL Hand Sanitizer Refill Refill Bottle, 3 PK (PK/3) Model: 8520-00-NIB-0149",Ability One,Ability One,Personal Care,z-Bulk Flam,Liquid
82901165545,Ace 1 Qt Gloss Black Rust Stop Enamel Paint - 4 Pack,Ace Hardware,ACE,Paint,z-OBP,Liquid
82901170143,Ace 11oz Spray Polyurethane Varnish - 6 Pack,Ace Hardware,ACE,Paint,z-Aerosols Punc,Aerosol
82901170006,Ace 12oz Gloss White Premium Enamel Spray Paint - 6 Pack,Ace Hardware,ACE,Paint,z-Aerosols Punc,Aerosol
82901220275,Ace 14.1 Oz Disposable Propane Cylinder,Ace Hardware,ACE,Cylinders,z-Propane,Propane
82901170785,Ace 15oz Almond Gloss Rust Stop Spray Paint - 6 Cans/Box,Ace Hardware,ACE,Paint,z-Aerosols Punc,Aerosol
82901170815,Ace 15oz Leather Brown Gloss Rust Stop Spray Paint - 6 Pack,Ace Hardware,ACE,Paint,z-Aerosols Punc,Aerosol
82901170839,Ace 15oz Red  Rust Stop Spray Primer - 6 Pack,Ace Hardware,ACE,Paint,z-Aerosols Punc,Aerosol
82901726753,Ace Flying Insect Killer (72675) - 12 Pack,Ace Hardware,ACE,Pesticide,z-Areosols Non-Punc,Aerosol
82901127796,ACE PAINT THINNER Economical general purpose,"W.M. Barr & Company, Inc.",Klean-Strip,Cleaners,z-Flam Tox,Liquid
82901726722,Ace(r) Ant & Roach Killer - 12 Pack,Ace Hardware,ACE,Pesticide,z-Aerosols Punc,Aerosol
17926000014,ACID MURIATIC GALLON,Sunbelt Chemicals Corp,Sunbelt Chemicals,Cleaners,g-Acids,Acid
10186014241,AcrylPro 3-1/2 Gal. Ceramic Tile Adhesive,Custom Building Products,AcrylPro ,Home Building,z-Tox Solids,Liquid
39079058841,"Adams Flea and Tick Home and Carpet Spray, 16-Ounce",Adams,Adams,Pesticide,z-Areosols Non-Punc,Liquid
39079090117,"Adams Plus Flea and Tick Mist for Dogs and Cats, 16-Ounces",Adams,Adams,Pet Care,z-Flam Tox,Liquid
94000378016,ADVANCED TECHNIQUES VOLUMIZING,,,Personal Care,z-Flam Tox,Liquid
46500022692,Advanced Ultra Gel Brush,S.C. Johnson & Son Company,Shout,Cleaners,z-Flam Tox,Liquid
79567100423,Aerosol White Lithium Grease,WD40 Company,WD-40,Garage,z-Aerosols Punc,Aerosol
88193002223,"AERVOE Marking Paint with Inverted Tip, Fluorescent Orange",Aervoe Industries Inc.,Aervoe,Paint,z-Aerosols Punc,Aerosol
62338770024,Air Wick 6233877002 8 Ounce Airwick Freshener,Reckitt Benckiser Inc.,Air Wick,Cleaners,z-Aerosols Punc,Aerosol
62338779614,Air Wick 6233877961 Airwick Freshmatic Refill Lavender 6.17 Ounce,Reckitt Benckiser Inc.,Air Wick,Cleaners,z-Aerosols Punc,Aerosol
62338795539,Air Wick 6233879553 Airwick Freshmatic Refill Frsh,Reckitt Benckiser Inc.,Air Wick,Cleaners,z-Aerosols Punc,Aerosol
71662550509,"Air-Dry Clay, 2 1/2 Lbs",Crayola,Crayola,Paint,z-Tox Solids,Solid
17754155863,"Aleene's Fabric Stiffener & Draping Liquid, 16 Ounce",I Love To Create,Aleene's,Adhesive,z-Flam Tox,Craft
17754155924,Aleene's Flexible Stretchable Fabric Glue-4oz,Aleene's,Aleene's,Adhesive,z-Flam Tox,Craft
49462008100,Aleene's Original All-Purpose Tacky Glue 8 oz,I Love To Create,Aleene's,Adhesive,z-Tox Solids,Craft
17754156044,"Aleene's Original Tacky Glue, 5",Aleene's,Aleene's,Adhesive,z-Flam Tox,Craft
17754235015,Aleene's Permanent Spray Adhesive,I Love To Create,Aleene's,Adhesive,z-Areosols Non-Punc,Aerosol
75371152009,"All That Glitters Scented Shimmer Body Spray, Sweet,  8-Ounce Bottle",,All That Glitters,Personal Care,z-Areosols Non-Punc,Liquid
23906096014,Ally Dist - Benjamin Moore Ultraspec 500 Int. Eggshell Gallon,Benjamin Moore,Benjamin Moore,Paint,z-Latex,Liquid
94376974607,Alvin 1046840B Acrylic Brilliant Yel Grn,Martin/ F. Weber,Alvin,Paint,z-Flam Tox,Liquid
71121963017,Ant and Roach Killer 17.5 oz. Aerosol Fresh Floral Scent Spray Plus Germ Killer,United Industries Corporation,Hot Shot,Pesticide,z-Areosols Non-Punc,Aerosol
94000280418,âœ¿ NEW Retired Avon Bubble Bath 24 oz Sealed Bottles - U CHOOSE SCENT Rare NLA,,,Personal Care,z-Flam Tox,Liquid
10186801841,Aqua Mix Sealer's Choice Gold 24 oz. Penetrating Sealer,Custom Building Products,Aqua Mix,Home Building,z-Flam Tox,Liquid
73187520128,Arch Chemical 52012 HTH LB Shock Treatment (Case of 15),Arch Chemical,HTH,Specialty Chemicals,z-Tox Solids,Solid
73187862280,Arch Chemical 86228 HTH 2 Pound Spa Shock (Case of 6),Arch Chemical,HTH,Specialty Chemicals,j-Oxidizers,Solid
33200110408,Arm & Hammer 11040 32 Ounce Pet Odor & Stain,"Church & Dwight Co., Inc.",Arm & Hammer,Cleaners,z-Flam Tox,Liquid
33200016700,Arm & Hammer Pure  Baking Soda 12 Oz Shaker,"Church & Dwight Co., Inc.",Arm & Hammer,Cleaners,z-Tox Solids,Solid
33200030041,Armaly 23310 Brillo 10 Pack Steel Wool Soap Pad,Armaly,Armaly,Cleaners,z-Tox Solids,Solid
70612100405,Armor All 10040 4 Ounce Leather And Vinyl Protectant,United Industries Corporation,Armor All,Cleaners,z-Flam Tox,Liquid
70612101600,Armor All 10160 Leather And Vinyl Protectant 16 Ounce,United Industries Corporation,Armor All,Cleaners,z-Flam Tox,Liquid
70612108654,Armor All 10865 Wipes Glass Armor All 25Ct,United Industries Corporation,Armor All,Cleaners,z-Tox Solids,Solid
70612406903,Armor All 10961 Leather Care Gel - 18 oz.,United Industries Corporation,Armor All,Cleaners,z-Flam Tox,Liquid
70612103260,Armor All 18186 32 Ounce Vinyl Protectant,United Industries Corporation,Armor All,Cleaners,z-Bulk Flam,Liquid
70612400406,Armor All 40040 Foam Tire Cleaner 4 Ounce,United Industries Corporation,Armor All,Cleaners,z-Areosols Non-Punc,Aerosol
70612780911,Armor All 78091 Cleaner Crpt/Uplstr Aa 22 Ounce,United Industries Corporation,Armor All,Cleaners,z-Aerosols Punc,Aerosol
70612785138,Armor All 78513 Multi-Purpose Auto Cleaner 16 Oz Trigger Spray Bottle,United Industries Corporation,Armor All,Cleaners,z-Flam Tox,Liquid
70612100801,Armor All 8 oz. original protectant,United Industries Corporation,Armor All,Cleaners,z-Flam Tox,Liquid
70612100108,"Armor All Protectant, Original 10 oz (Pack of 2)",WD40 Company,Armor All,Cleaners,z-Flam Tox,Liquid
85593152008,"Armour Glass Etch Cream, 10-Ounce",Armour,Armour Etch,Paint,g-Acids,Liquid
42369000413,Armstrong 325124 32 Ounce Cleaner And Wax Remover,"Armstrong Floor Care, Inc.",Armstrong,Cleaners,z-Bulk Flam,Liquid
38785551004,Aussie Mega Flexible Hold Hair Spray 14 oz (Pack of 6),Procter & Gamble,Aussie,Personal Care,z-Aerosols Punc,Aerosol
37000435709,Autodry Refill Filter,MR. CLEAN,Mr. Clean,Cleaners,z-Tox Solids,Solid
74660012468,"Automotive Carpet Cleaner, Aerosol, 18 Oz.","Turtle Wax, Inc.",Turtle Wax,Cleaners,z-Areosols Non-Punc,Aerosol
52948031011,AutoZone 12 oz. DOT 3 brake fluid,AutoZone,AutoZone,Automotive,z-Flam Tox,Liquid
52948641388,AutoZone Carburetor cleaner,AutoZone,AutoZone,Cleaners,z-Aerosols Punc,Aerosol
52948053297,AutoZone Power steering fluid,AutoZone,AutoZone,Automotive,z-Flam Tox,Liquid
94000073560,Avon Advance Techniques Professional Hair Care - Flexible Hold Hair Spray,"Avon Products, Inc.",Avon ,Personal Care,z-Flam Tox,Liquid
94000188219,Avon Bubble Bath for Kids High School Musical 24 Fl. Oz.,,Avon ,Personal Care,z-Flam Tox,Liquid
94000166750,Avon Bubble Bath Fresh Peach 24 Fl. Oz.,"Avon Products, Inc.",Avon ,Personal Care,z-Flam Tox,Liquid
94000948639,Avon Bubble Delight Coconut Water,,Avon ,Personal Care,z-Flam Tox,Liquid
94000325669,Avon Peppermint Delight Bubble Bath 24 oz.,,Avon ,Personal Care,z-Flam Tox,Liquid
79400339980,"Axe Spiked Up Look Gel, 6 oz (Pack of 2)",Alberto-Culver Company,Axe,Personal Care,z-Flam Tox,Liquid
75894001167,"B-12 Chemtool Carburetor, Fuel System, and Injector Cleaner",WD40 Company,B-12 Chemtool,Cleaners,z-Aerosols Punc,Aerosol
74469447058,"Bain De Terre All Day Straight Safflower Smoothing Gel, 5.1 Fluid Ounce",Bain de Terre,Bain De Terre,Personal Care,z-Flam Tox,Liquid
94000282078,Bain-Mousse Bubble Bath *24oz PINK GRAPEFRUIT,,Avon ,Personal Care,z-Flam Tox,Liquid
79656049718,Banana Boat 14971 8 Ounce Spf30 Sun Screen,Energizer Holdings Inc.,Banana Boat,Personal Care,z-Flam Tox,Liquid
79656029307,"Banana Boat for Men Triple Defense Spray SPF 30, 6 Ounce",Energizer Holdings Inc.,Banana Boat,Personal Care,z-Areosols Non-Punc,Aerosol
79656049725,"Banana Boat Sport Performance Sunscreen Lotion, SPF 50 8 oz (Pack of 3)",Energizer Holdings Inc.,Banana Boat,Personal Care,z-Flam Tox,Liquid
46087011096,Bar's Leaks Block Seal Liquid Copper,Bar's Leaks,Bar's Leaks,Automotive,z-Flam Tox,Liquid
46087000472,"Bar's Leaks Original Pelletized Formula Heavy-Duty Stop Leak, 11 oz",Bar's Leaks,Bar's Leaks,Automotive,z-Flam Tox,Liquid
51009000331,"Barbasol  Shaving Cream Thick & Rich Original, 2.25 OZ","Perio, Inc.",Barbasol ,Personal Care,z-Areosols Non-Punc,Aerosol
98132342587,bareMinerals Faux on-the-go,"Bare Escentuals Beauty, Inc.",bareMinerals,Personal Care,z-Flam Tox,Solid
54947011087,Beacon Stiffen Stuff Stiffening Spray 8oz,Signature Marketing & Mfg Inc,Stiffen Stuff,Cleaners,z-Flam Tox,Liquid
82474064016,BEHR 1 Gal. Premium Stain and Finish Stripper,Behr Process Corporation,BEHR PREMIUM,Cleaners,z-Bulk Flam,Liquid
82474985014,BEHR 1-Gal. Wet Look Sealer,Behr Process Corporation,BEHR PREMIUM,Home Building,z-Bulk Flam,Liquid
82474992036,BEHR Premium 1-gal. Wood Stain and Finish Stripper,Behr Process Corporation,BEHR PREMIUM,Cleaners,z-Bulk Flam,Liquid
82474850107,Behr Premium Concrete Stain in  Saltillo Tile Color Paint Tinted Weatherproofin g,Behr Process Corporation,BEHR PREMIUM,Paint,g-Acids,Liquid
82474862018,BEHR Premium Plus 1-gal. Pure Black Hi-Gloss Enamel Exterior/Interior Paint,Behr Process Corporation,BEHR PREMIUM PLUS,Paint,z-Latex,Liquid
82474205013,"BEHR PREMIUM PLUS Interior Eggshell Enamel Paint - Ultra Pure White, 3.79 L",Behr Process Corporation,BEHR PREMIUM PLUS,Paint,z-Latex,Liquid
82474205044,"BEHR PREMIUM PLUS Interior Eggshell Enamel Paint - Ultra Pure White, 946 mL",Behr Process Corporation,BEHR PREMIUM PLUS,Paint,z-Latex,Liquid
82474705018,"BEHR PREMIUM PLUS Interior Satin Enamel Paint - Ultra Pure White, 3.79 L",Behr Process Corporation,BEHR PREMIUM PLUS,Paint,z-Latex,Liquid
82474305010,"BEHR PREMIUM PLUS Interior Semi-Gloss Enamel Paint - Ultra Pure White, 3.79 L",Behr Process Corporation,BEHR PREMIUM PLUS,Paint,z-Latex,Liquid
82474500040,"BEHR Premium Weathrproofing Deck, Fence & Siding Wood Finish",Behr Process Corporation,BEHR PREMIUM,Paint,z-OBP,Liquid
82474377017,"BEHR SEMI-TRANSPARENT WATERPROOFING WOOD STAIN, TINT BASE, 3.55 L",Behr Process Corporation,BEHR DECKPLUS,Paint,z-OBP,Liquid
82474030011,"BEHR Solid Colour House & Fence Wood Stain - Deep Base No. 30,  3.43 L",Behr Process Corporation,BEHR DECKPLUS,Paint,z-OBP,Liquid
84865932508,Bengal Chemical 93250 Killer Insect Flying 16 Ounce,Bengal Chemical,Bengal Chemical,Pesticide,z-Areosols Non-Punc,Aerosol
84865971170,Bengal Chemical 97118 Killer Wasp/Hornet 14 Ounce,Bengal Chemical,Bengal Chemical,Pesticide,z-Aerosols Punc,Aerosol
23906011369,"BENJAMIN MOORE 05131X0010098024 Interior Paint, Eggshell, 1 gal, Mascarpone",Benjamin Moore,Benjamin Moore,Paint,z-Latex,Liquid
23906053949,Benjamin Moore 1 Gallon Regal Select Pearl Base,Benjamin Moore,Benjamin Moore,Paint,z-Latex,Liquid
